item_id,order_id,product_id,quantity,discount,unit_price
ITEM-00000038,ORD-0023109,PROD-00285,3,0.3,223.61
ITEM-00000039,ORD-0000510,PROD-00219,5,0.15,226.37
ITEM-00000040,ORD-0009485,PROD-00173,3,0.25,173.05
ITEM-00000041,ORD-0003172,PROD-00190,3,0.05,124.23
ITEM-00000042,ORD-0018843,PROD-00266,1,0.2,34.43
ITEM-00000043,ORD-0007206,PROD-00029,2,0.2,161.71
ITEM-00000044,ORD-0003476,PROD-00129,4,0.25,10.89
ITEM-00000045,ORD-0008819,PROD-00105,2,0.1,57.79
ITEM-00000046,ORD-0010985,PROD-00006,2,0.3,198.23
ITEM-00000047,ORD-0005917,PROD-00221,5,0.25,49.89
ITEM-00000048,ORD-0005177,PROD-00078,3,0.0,239.12
ITEM-00000049,ORD-0009102,PROD-00093,2,0.1,81.08
ITEM-00000050,ORD-0013425,PROD-00247,3,0.15,161.74
ITEM-00000051,ORD-0010754,PROD-00058,3,0.25,200.6
ITEM-00000052,ORD-0018605,PROD-00241,5,0.15,69.91
ITEM-00000053,ORD-0024897,PROD-00216,3,0.05,241.1
ITEM-00000054,ORD-0016587,PROD-00266,5,0.1,200.6
ITEM-00000055,ORD-0003046,PROD-00202,2,0.05,6.68
ITEM-00000056,ORD-0002951,PROD-00063,5,0.3,15.55
ITEM-00000057,ORD-0014244,PROD-00014,5,0.25,150.06
ITEM-00000058,ORD-0004811,PROD-00220,2,0.25,16.55
ITEM-00000059,ORD-0018419,PROD-00230,3,0.25,225.42
ITEM-00000060,ORD-0020004,PROD-00287,5,0.05,74.89
ITEM-00000061,ORD-0024469,PROD-00220,1,0.3,170.77
ITEM-00000062,ORD-0024608,PROD-00060,5,0.1,52.41
ITEM-00000063,ORD-0021906,PROD-00102,2,0.05,229.12
ITEM-00000064,ORD-0018227,PROD-00223,5,0.0,243.43
ITEM-00000065,ORD-0015640,,4,0.15,216.36
ITEM-00000066,ORD-0016063,PROD-00189,4,0.2,173.22
ITEM-00000067,ORD-0003274,PROD-00105,2,0.3,40.03
ITEM-00000068,ORD-0001339,PROD-00034,4,0.0,61.2
ITEM-00000069,ORD-0021860,PROD-00012,2,0.15,43.55
ITEM-00000070,ORD-0005024,PROD-00039,1,0.2,248.38
ITEM-00000071,ORD-0022091,PROD-00146,4,0.0,115.37
ITEM-00000072,ORD-0020718,PROD-00149,4,0.15,174.6
ITEM-00000073,ORD-0019951,PROD-00033,1,0.15,245.05
ITEM-00000074,ORD-0021161,PROD-00199,1,0.05,158.43
ITEM-00000075,ORD-0010163,PROD-00015,3,0.1,246.22
ITEM-00000076,ORD-0014262,PROD-00278,2,0.0,120.81
ITEM-00000077,ORD-0001471,PROD-00230,4,0.2,38.2
ITEM-00000078,ORD-0024832,PROD-00067,5,0.1,61.67
ITEM-00000079,ORD-0006255,PROD-00082,2,0.05,78.53
ITEM-00000080,ORD-0014825,PROD-00028,4,0.15,58.77
ITEM-00000081,ORD-0024279,PROD-00169,3,0.0,70.91
ITEM-00000082,ORD-0001794,PROD-00077,3,0.15,91.31
ITEM-00000083,ORD-0022001,PROD-00075,3,0.25,216.95
ITEM-00000084,ORD-0015642,PROD-00246,5,0.1,95.55
ITEM-00000085,ORD-0012549,PROD-00254,1,0.25,26.42
ITEM-00000086,ORD-0010009,PROD-00096,1,0.0,13.82
ITEM-00000087,ORD-0022956,PROD-00014,2,0.25,143.09
ITEM-00000088,ORD-0009130,PROD-00278,3,0.3,169.39
ITEM-00000089,ORD-0003602,PROD-00005,4,0.1,243.77
ITEM-00000090,ORD-0012777,PROD-00143,3,0.3,187.56
ITEM-00000091,ORD-0022783,PROD-00280,4,0.15,6.76
ITEM-00000092,ORD-0009570,PROD-00124,2,0.25,68.36
ITEM-00000093,ORD-0014893,PROD-00173,4,0.25,104.48
ITEM-00000094,ORD-0010452,PROD-00129,1,0.2,63.6
ITEM-00000095,ORD-0018740,PROD-00078,2,0.05,59.51
ITEM-00000096,ORD-0010209,PROD-00047,3,0.3,229.18
ITEM-00000097,ORD-0003100,PROD-00059,3,0.1,79.25
ITEM-00000098,ORD-0021850,PROD-00158,2,0.25,99.81
ITEM-00000099,ORD-0013290,PROD-00240,4,0.1,11.92
ITEM-00000100,ORD-0010739,PROD-00207,5,0.3,76.42
ITEM-00000101,ORD-0011088,PROD-00045,3,0.3,88.84
ITEM-00000102,ORD-0009475,PROD-00035,1,0.2,126.79
ITEM-00000103,ORD-0013329,PROD-00043,2,0.25,193.36
ITEM-00000104,ORD-0002909,PROD-00172,1,0.15,105.54
ITEM-00000105,ORD-0018716,PROD-00011,4,0.25,222.41
ITEM-00000106,ORD-0008732,PROD-00277,1,0.25,231.3
ITEM-00000107,ORD-0018309,PROD-00142,1,0.05,69.79
ITEM-00000108,ORD-0022861,PROD-00276,5,-0.6666612523074147,90.76
ITEM-00000109,ORD-0022957,PROD-00017,5,0.0,247.24
ITEM-00000110,ORD-0009240,PROD-00033,3,0.15,95.23
ITEM-00000111,ORD-0016900,PROD-00091,2,0.25,229.0
ITEM-00000112,ORD-0018470,PROD-00208,1,0.15,59.09
ITEM-00000113,ORD-0011363,PROD-00145,4,0.15,176.08
ITEM-00000114,ORD-0019968,PROD-00239,5,0.15,192.05
ITEM-00000115,ORD-0021295,PROD-00045,5,0.05,10.74
ITEM-00000116,ORD-0012661,PROD-00248,4,0.05,33.0
ITEM-00000117,ORD-0020696,PROD-00113,5,0.15,140.12
ITEM-00000118,ORD-0011405,PROD-00165,5,0.3,18.55
ITEM-00000119,ORD-0011095,PROD-00150,2,0.1,155.44
ITEM-00000120,ORD-0012483,PROD-00080,3,0.3,191.97
ITEM-00000121,ORD-0000172,PROD-00105,1,0.2,16.45
ITEM-00000122,ORD-0015623,PROD-00221,5,0.3,67.92
ITEM-00000123,ORD-0012433,PROD-00075,2,0.05,167.07
ITEM-00000124,ORD-0010913,PROD-00164,3,0.1,184.31
ITEM-00000125,ORD-0007011,PROD-00113,1,0.2,205.22
ITEM-00000126,ORD-0013816,PROD-00063,1,0.2,23.55
ITEM-00000127,ORD-0011704,PROD-00077,3,0.25,78.96
ITEM-00000128,ORD-0013663,PROD-00295,2,0.3,88.45
ITEM-00000129,ORD-0011637,PROD-00017,1,0.2,236.49
ITEM-00000130,ORD-0005284,PROD-00017,1,0.3,213.11
ITEM-00000131,ORD-0012478,PROD-00112,4,0.2,125.18
ITEM-00000132,ORD-0001943,PROD-00161,5,0.2,145.6
ITEM-00000133,ORD-0001729,PROD-00283,5,0.15,134.6
ITEM-00000134,ORD-0010610,PROD-00033,5,0.0,54.69
ITEM-00000135,,PROD-00071,5,0.25,119.91
ITEM-00000136,ORD-0021020,PROD-00290,3,0.2,236.63
ITEM-00000137,ORD-0008953,PROD-00048,4,0.3,147.76
ITEM-00000138,ORD-0014970,PROD-00040,4,0.15,12.18
ITEM-00000139,ORD-0021641,PROD-00111,5,0.0,169.02
ITEM-00000140,ORD-0024710,PROD-00192,1,0.25,47.45
ITEM-00000141,ORD-0015764,PROD-00133,4,0.25,157.58
ITEM-00000142,ORD-0006543,PROD-00041,5,0.3,154.25
ITEM-00000143,ORD-0009264,PROD-00194,4,0.0,189.14
ITEM-00000144,ORD-0007369,PROD-00206,2,0.2,135.88
ITEM-00000145,ORD-0022642,PROD-00176,2,0.2,78.56
ITEM-00000146,ORD-0011319,PROD-00149,4,0.15,69.12
ITEM-00000147,ORD-0012777,PROD-00093,1,0.15,171.68
ITEM-00000148,ORD-0010594,PROD-00097,5,0.25,182.75
ITEM-00000149,ORD-0014295,PROD-00287,2,0.05,184.8
ITEM-00000150,ORD-0003107,PROD-00041,1,0.3,23.15
ITEM-00000151,ORD-0007366,PROD-00153,3,0.2,69.26
ITEM-00000152,ORD-0006799,PROD-00010,4,0.3,140.41
ITEM-00000153,ORD-0011542,PROD-00258,3,0.1,215.28
ITEM-00000154,ORD-0017540,PROD-00298,3,0.2,186.69
ITEM-00000155,ORD-0005661,PROD-00122,1,0.2,219.34
ITEM-00000156,ORD-0016522,PROD-00043,1,1.3498218832003224,59.31
ITEM-00000157,ORD-0009813,PROD-00115,1,0.3,211.59
ITEM-00000158,ORD-0019338,PROD-00014,1,0.0,44.75
ITEM-00000159,ORD-0023854,PROD-00144,2,0.05,49.51
ITEM-00000160,ORD-0009576,PROD-00155,3,0.0,108.27
ITEM-00000161,ORD-0019524,PROD-00161,1,0.3,81.34
ITEM-00000162,ORD-0008066,PROD-00017,3,0.3,80.76
ITEM-00000163,ORD-0004352,PROD-00093,4,0.15,53.12
ITEM-00000164,ORD-0023152,PROD-00070,5,0.05,5.01
ITEM-00000165,ORD-0010926,PROD-00019,4,0.15,198.01
ITEM-00000166,ORD-0004682,PROD-00032,2,0.3,249.44
ITEM-00000167,ORD-0011142,PROD-00049,2,0.0,38.2
ITEM-00000168,ORD-0013691,PROD-00075,5,0.25,54.25
ITEM-00000169,ORD-0006581,PROD-00031,1,0.15,205.46
ITEM-00000170,ORD-0007270,PROD-00158,3,0.1,167.72
ITEM-00000171,ORD-0005330,PROD-00027,5,0.05,148.39
ITEM-00000172,ORD-0001256,PROD-00100,4,0.2,226.53
ITEM-00000173,ORD-0007698,PROD-00298,1,0.3,194.28
ITEM-00000174,ORD-0020022,PROD-00270,2,0.05,110.04
ITEM-00000175,ORD-0020575,PROD-00154,5,0.15,207.35
ITEM-00000176,ORD-0000764,PROD-00206,1,0.2,239.7
ITEM-00000177,ORD-0002334,PROD-00018,5,0.15,50.23
ITEM-00000178,ORD-0016692,PROD-00177,4,0.25,121.57
ITEM-00000179,ORD-0013394,PROD-00003,3,0.0,225.49
ITEM-00000180,ORD-0007676,PROD-00259,4,0.05,14.96
ITEM-00000181,ORD-0004672,PROD-00030,3,0.15,66.63
ITEM-00000182,ORD-0013509,PROD-00059,2,0.2,127.56
ITEM-00000183,ORD-0010740,PROD-00228,2,0.05,195.75
ITEM-00000184,ORD-0005501,PROD-00239,2,0.25,27.31
ITEM-00000185,ORD-0022274,PROD-00071,5,0.3,35.27
ITEM-00000186,ORD-0007478,PROD-00046,5,0.15,149.09
ITEM-00000187,ORD-0004842,PROD-00183,5,0.1,85.76
ITEM-00000188,ORD-0023559,PROD-00276,5,0.1,156.55
ITEM-00000189,ORD-0010752,PROD-00033,1,0.2,110.09
ITEM-00000190,ORD-0005000,PROD-00124,4,0.2,96.81
ITEM-00000191,ORD-0013328,PROD-00209,5,0.1,51.39
ITEM-00000192,ORD-0004304,PROD-00128,2,0.25,97.8
ITEM-00000193,ORD-0010012,PROD-00121,4,0.25,232.4
ITEM-00000194,ORD-0024444,PROD-00155,1,0.2,130.97
ITEM-00000195,ORD-0016137,PROD-00134,5,0.3,41.45
ITEM-00000196,ORD-0007926,PROD-00043,5,0.15,114.28
ITEM-00000197,ORD-0023816,PROD-00165,1,0.15,131.07
ITEM-00000198,ORD-0015842,PROD-00062,2,0.3,99.87
ITEM-00000199,ORD-0019270,PROD-00126,4,0.25,34.76
ITEM-00000200,ORD-0022846,PROD-00275,4,0.25,23.12
ITEM-00000201,ORD-0017560,PROD-00146,5,0.0,91.34
ITEM-00000202,ORD-0011198,PROD-00035,2,0.3,186.56
ITEM-00000203,ORD-0007540,PROD-00158,2,0.15,9.42
ITEM-00000204,ORD-0016834,PROD-00142,3,0.3,44.57
ITEM-00000205,ORD-0013107,PROD-00174,3,0.2,148.17
ITEM-00000206,ORD-0007302,PROD-00045,2,0.25,21.33
ITEM-00000207,ORD-0005539,PROD-00238,5,0.25,183.4
ITEM-00000208,ORD-0000175,PROD-00110,5,0.25,223.82
ITEM-00000209,ORD-0019190,PROD-00078,2,0.2,188.6
ITEM-00000210,ORD-0023594,PROD-00152,5,0.3,165.48
ITEM-00000211,ORD-0019148,PROD-00183,3,0.15,211.69
ITEM-00000212,ORD-0003037,PROD-00170,5,0.0,133.82
ITEM-00000213,ORD-0000265,PROD-00221,5,0.05,66.35
ITEM-00000214,ORD-0012491,PROD-00144,4,0.15,222.49
ITEM-00000215,ORD-0006090,PROD-00127,3,0.25,35.99
ITEM-00000216,ORD-0005219,PROD-00041,3,0.25,18.97
ITEM-00000217,ORD-0022965,PROD-00004,5,0.25,75.78
ITEM-00000218,ORD-0008489,PROD-00282,3,0.25,43.52
ITEM-00000219,ORD-0004813,PROD-00007,2,0.05,192.75
ITEM-00000220,ORD-0015194,PROD-00248,3,0.0,129.46
ITEM-00000221,ORD-0023872,PROD-00212,1,0.3,10.46
ITEM-00000222,ORD-0024387,PROD-00242,5,0.0,137.75
ITEM-00000223,ORD-0020127,PROD-00094,1,0.2,51.81
ITEM-00000224,ORD-0008857,PROD-00116,5,0.05,43.7
ITEM-00000225,ORD-0010853,PROD-00028,5,0.15,166.98
ITEM-00000226,ORD-0014172,PROD-00234,5,0.2,130.0
ITEM-00000227,ORD-0007626,PROD-00221,3,0.1,205.78
ITEM-00000228,ORD-0022585,PROD-00009,5,0.2,105.5
ITEM-00000229,ORD-0017189,PROD-00035,5,0.25,212.26
ITEM-00000230,ORD-0014030,PROD-00288,1,0.25,202.54
ITEM-00000231,ORD-0016821,PROD-00018,5,0.2,81.57
ITEM-00000232,ORD-0018954,PROD-00022,2,0.1,154.71
ITEM-00000233,ORD-0017964,PROD-00161,2,0.25,205.23
ITEM-00000234,ORD-0002290,PROD-00201,3,0.25,7.44
ITEM-00000235,ORD-0008337,PROD-00229,3,0.25,38.85
ITEM-00000236,ORD-0007142,PROD-00256,2,0.3,242.09
ITEM-00000237,ORD-0001989,PROD-00010,1,0.1,224.39
ITEM-00000238,ORD-0010081,PROD-00140,5,0.15,83.85
ITEM-00000239,ORD-0000318,PROD-00035,4,0.25,71.7
ITEM-00000240,ORD-0024455,PROD-00152,3,0.1,172.95
ITEM-00000241,ORD-0005363,PROD-00179,2,0.15,68.89
ITEM-00000242,ORD-0020776,PROD-00073,2,0.0,204.07
ITEM-00000243,ORD-0024697,PROD-00053,5,0.3,146.27
ITEM-00000244,ORD-0008948,PROD-00158,5,0.25,93.29
ITEM-00000245,ORD-0007293,PROD-00273,3,0.25,162.44
ITEM-00000246,ORD-0007190,PROD-00199,5,0.3,146.52
ITEM-00000247,ORD-0009279,PROD-00204,5,0.25,158.26
ITEM-00000248,ORD-0017108,PROD-00218,3,0.3,56.17
ITEM-00000249,ORD-0014023,PROD-00211,2,0.1,186.54
ITEM-00000250,ORD-0020105,PROD-00151,3,0.1,21.66
ITEM-00000251,ORD-0000509,PROD-00032,3,0.3,120.46
ITEM-00000252,ORD-0022372,PROD-00015,4,0.05,75.21
ITEM-00000253,ORD-0020009,PROD-00297,4,0.2,159.87
ITEM-00000254,ORD-0000187,PROD-00127,1,0.3,114.84
ITEM-00000255,ORD-0024889,PROD-00244,1,0.25,61.07
ITEM-00000256,ORD-0020230,PROD-00270,4,0.2,151.67
ITEM-00000257,ORD-0012114,PROD-00285,5,0.05,22.34
ITEM-00000258,ORD-0004117,PROD-00287,3,0.25,227.85
ITEM-00000259,ORD-0013582,PROD-00133,3,0.3,71.9
ITEM-00000260,ORD-0008342,PROD-00022,1,0.15,124.18
ITEM-00000261,ORD-0023688,PROD-00191,4,0.0,239.47
ITEM-00000262,ORD-0003281,PROD-00105,3,0.3,9.52
ITEM-00000263,ORD-0023649,PROD-00212,4,0.1,122.05
ITEM-00000264,ORD-0002244,PROD-00077,4,0.1,83.72
ITEM-00000265,ORD-0007411,PROD-00031,4,0.2,87.49
ITEM-00000266,ORD-0020697,PROD-00003,3,0.2,248.0
ITEM-00000267,ORD-0013568,PROD-00070,3,0.15,48.22
ITEM-00000268,ORD-0005214,PROD-00132,2,0.0,92.44
ITEM-00000269,ORD-0013016,PROD-00231,1,0.25,5.11
ITEM-00000270,ORD-0011739,PROD-00048,3,0.25,63.41
ITEM-00000271,ORD-0012454,PROD-00177,1,0.1,213.49
ITEM-00000272,ORD-0010977,PROD-00075,5,0.05,56.54
ITEM-00000273,ORD-0019980,PROD-00219,3,0.2,203.16
ITEM-00000274,ORD-0023026,PROD-00007,2,0.0,237.95
ITEM-00000275,ORD-0019418,PROD-00206,3,0.3,184.89
ITEM-00000276,ORD-0012226,PROD-00063,5,0.2,184.57
ITEM-00000277,ORD-0013250,PROD-00138,2,0.15,185.76
ITEM-00000278,ORD-0014494,PROD-00242,5,0.1,31.19
ITEM-00000279,ORD-0007499,PROD-00239,4,0.2,207.51
ITEM-00000280,ORD-0000374,PROD-00234,5,0.25,144.95
ITEM-00000281,ORD-0020031,PROD-00028,1,0.2,26.02
ITEM-00000282,ORD-0017702,PROD-00059,3,0.05,197.72
ITEM-00000283,ORD-0023297,PROD-00166,4,0.25,71.71
ITEM-00000284,ORD-0010135,PROD-00156,5,0.15,24.3
ITEM-00000285,ORD-0002273,PROD-00006,2,0.2,63.99
ITEM-00000286,ORD-0008100,PROD-00021,1,0.3,60.33
ITEM-00000287,ORD-0009326,PROD-00276,4,0.05,136.82
ITEM-00000288,ORD-0024905,PROD-00282,5,0.0,13.69
ITEM-00000289,ORD-0024255,PROD-00248,2,0.0,80.41
ITEM-00000290,ORD-0001294,PROD-00197,1,0.2,246.21
ITEM-00000291,ORD-0010937,PROD-00177,1,0.3,158.1
ITEM-00000292,ORD-0014823,PROD-00035,1,0.2,211.45
ITEM-00000293,ORD-0017428,PROD-00160,3,0.05,116.1
ITEM-00000294,ORD-0015513,PROD-00053,3,0.1,31.48
ITEM-00000295,ORD-0016970,PROD-00262,3,0.1,123.53
ITEM-00000296,ORD-0009971,PROD-00122,2,0.3,55.46
ITEM-00000297,ORD-0010172,PROD-00282,1,0.25,75.65
ITEM-00000298,ORD-0007816,PROD-00218,5,0.2,158.83
ITEM-00000299,ORD-0009132,PROD-00227,4,0.1,53.86
ITEM-00000300,ORD-0024289,PROD-00113,1,0.0,8.56
ITEM-00000301,ORD-0002065,PROD-00043,2,0.3,8.72
ITEM-00000302,ORD-0003555,PROD-00208,1,0.3,210.68
ITEM-00000303,ORD-0022172,PROD-00223,3,0.25,9.46
ITEM-00000304,ORD-0014643,PROD-00078,1,0.25,108.04
ITEM-00000305,ORD-0022253,PROD-00033,2,0.15,180.8
ITEM-00000306,ORD-0005431,PROD-00102,4,0.3,222.8
ITEM-00000307,ORD-0008932,PROD-00187,2,0.05,172.08
ITEM-00000308,ORD-0009530,PROD-00077,4,0.05,120.59
ITEM-00000309,ORD-0022248,PROD-00167,1,0.1,90.89
ITEM-00000310,ORD-0013028,PROD-00204,2,0.3,64.87
ITEM-00000311,ORD-0008295,PROD-00141,2,0.0,154.89
ITEM-00000312,ORD-0008461,PROD-00227,4,0.1,130.69
ITEM-00000313,ORD-0011407,PROD-00188,4,0.15,212.85
ITEM-00000314,ORD-0005460,PROD-00208,3,0.15,7.52
ITEM-00000315,ORD-0006043,PROD-00170,4,0.0,138.55
ITEM-00000316,ORD-0019346,PROD-00106,4,0.0,118.92
ITEM-00000317,ORD-0003383,PROD-00218,3,0.15,164.66
ITEM-00000318,ORD-0015125,PROD-00200,4,0.15,212.36
ITEM-00000319,ORD-0004299,PROD-00263,3,0.0,66.14
ITEM-00000320,ORD-0011605,PROD-00120,4,0.2,64.34
ITEM-00000321,ORD-0010948,PROD-00265,5,0.3,185.81
ITEM-00000322,ORD-0023095,PROD-00025,2,0.2,101.82
ITEM-00000323,ORD-0004752,PROD-00277,1,0.15,243.6
ITEM-00000324,ORD-0002408,PROD-00159,5,0.05,96.17
ITEM-00000325,ORD-0016256,PROD-00029,1,0.15,152.47
ITEM-00000326,ORD-0002760,PROD-00073,5,0.2,74.96
ITEM-00000327,ORD-0011088,PROD-00101,1,0.2,77.91
ITEM-00000328,ORD-0006121,PROD-00046,5,0.3,135.95
ITEM-00000329,ORD-0017828,PROD-00092,1,0.25,53.2
ITEM-00000330,ORD-0005737,PROD-00299,5,0.0,205.87
ITEM-00000331,ORD-0021239,PROD-00125,3,0.0,140.81
ITEM-00000332,ORD-0005697,PROD-00270,2,0.15,248.84
ITEM-00000333,ORD-0008221,PROD-00291,5,0.1,201.65
ITEM-00000334,ORD-0012220,PROD-00282,4,0.25,48.6
ITEM-00000335,ORD-0019893,PROD-00240,4,0.25,244.94
ITEM-00000336,ORD-0024422,PROD-00165,5,0.2,8.28
ITEM-00000337,ORD-0023018,PROD-00153,5,0.05,170.17
ITEM-00000338,ORD-0005770,PROD-00106,1,0.05,31.78
ITEM-00000339,ORD-0014362,PROD-00154,4,0.1,163.48
ITEM-00000340,ORD-0001865,PROD-00099,1,0.1,170.28
ITEM-00000341,ORD-0013220,PROD-00131,2,0.2,170.26
ITEM-00000342,ORD-0023897,PROD-00008,5,0.05,28.58
ITEM-00000343,ORD-0022146,PROD-00247,2,0.2,214.69
ITEM-00000344,ORD-0004018,PROD-00273,2,0.15,231.79
ITEM-00000345,ORD-0011612,PROD-00270,3,0.25,6.33
ITEM-00000346,ORD-0018363,PROD-00105,3,0.0,155.87
ITEM-00000347,ORD-0010877,PROD-00001,5,0.0,15.78
ITEM-00000348,ORD-0012776,PROD-00207,1,0.3,133.55
ITEM-00000349,ORD-0019543,PROD-00071,4,0.15,83.57
ITEM-00000350,ORD-0021339,PROD-00101,2,0.1,154.73
ITEM-00000351,ORD-0015324,PROD-00046,1,0.3,218.12
ITEM-00000352,ORD-0005029,PROD-00167,3,0.15,17.7
ITEM-00000353,ORD-0000251,PROD-00226,3,0.15,30.82
ITEM-00000354,ORD-0016118,PROD-00275,4,0.1,24.67
ITEM-00000355,ORD-0010406,PROD-00177,3,0.05,24.64
ITEM-00000356,ORD-0024262,PROD-00087,1,0.15,211.14
ITEM-00000357,ORD-0013104,PROD-00261,4,0.25,37.17
ITEM-00000358,ORD-0024787,PROD-00247,5,0.2,6.99
ITEM-00000359,ORD-0005424,PROD-00064,3,0.15,27.18
ITEM-00000360,ORD-0000305,PROD-00095,1,0.1,145.86
ITEM-00000361,ORD-0023130,PROD-00126,4,0.1,42.66
ITEM-00000362,ORD-0024826,PROD-00098,4,0.2,46.12
ITEM-00000363,ORD-0010233,PROD-00178,4,0.05,148.16
ITEM-00000364,ORD-0008798,PROD-00267,4,0.25,58.78
ITEM-00000365,ORD-0005766,PROD-00124,3,0.1,35.06
ITEM-00000366,ORD-0010028,PROD-00266,2,0.25,240.89
ITEM-00000367,ORD-0002169,PROD-00073,4,0.3,77.49
ITEM-00000368,ORD-0021213,PROD-00278,3,0.0,122.64
ITEM-00000369,ORD-0022641,PROD-00084,3,0.15,69.62
ITEM-00000370,ORD-0013924,PROD-00060,2,0.2,200.99
ITEM-00000371,ORD-0008761,PROD-00081,3,0.2,69.6
ITEM-00000372,ORD-0022803,PROD-00265,5,0.2,28.6
ITEM-00000373,ORD-0001841,PROD-00290,3,0.0,172.66
ITEM-00000374,ORD-0008405,PROD-00030,3,0.0,163.5
ITEM-00000375,ORD-0004725,PROD-00277,1,0.05,177.43
ITEM-00000376,ORD-0006387,PROD-00136,4,0.05,96.91
ITEM-00000377,ORD-0010704,PROD-00130,4,0.1,150.21
ITEM-00000378,ORD-0003816,PROD-00148,5,0.25,120.65
ITEM-00000379,ORD-0018503,PROD-00138,4,0.15,193.55
ITEM-00000380,ORD-0021764,PROD-00286,2,0.15,160.1
ITEM-00000381,ORD-0023587,PROD-00119,1,0.05,139.07
ITEM-00000382,ORD-0024150,PROD-00063,5,0.1,179.05
ITEM-00000383,ORD-0022224,PROD-00107,1,0.3,204.55
ITEM-00000384,ORD-0008114,PROD-00111,1,0.05,187.34
ITEM-00000385,ORD-0015437,PROD-00050,2,0.3,28.36
ITEM-00000386,ORD-0004238,PROD-00056,4,0.0,110.4
ITEM-00000387,ORD-0001056,PROD-00168,3,0.0,59.44
ITEM-00000388,ORD-0017843,PROD-00209,3,0.25,23.48
ITEM-00000389,ORD-0000588,PROD-00134,1,0.2,97.67
ITEM-00000390,ORD-0001007,PROD-00268,2,0.15,208.35
ITEM-00000391,ORD-0013195,PROD-00080,4,0.1,220.55
ITEM-00000392,ORD-0001579,PROD-00262,1,0.0,127.57
ITEM-00000393,ORD-0002943,PROD-00169,1,0.3,16.91
ITEM-00000394,ORD-0021480,PROD-00144,5,0.3,22.97
ITEM-00000395,ORD-0003336,PROD-00210,3,0.3,121.47
ITEM-00000396,ORD-0002612,PROD-00259,2,0.1,134.4
ITEM-00000397,ORD-0008106,PROD-00082,2,0.05,217.34
ITEM-00000398,ORD-0002152,PROD-00099,5,0.25,38.93
ITEM-00000399,ORD-0010229,PROD-00200,2,0.1,14.73
ITEM-00000400,ORD-0013597,PROD-00005,4,0.05,237.25
ITEM-00000401,ORD-0012364,PROD-00097,4,0.1,132.63
ITEM-00000402,ORD-0004842,PROD-00272,4,0.15,86.4
ITEM-00000403,ORD-0024960,PROD-00257,5,0.2,168.44
ITEM-00000404,ORD-0013282,PROD-00181,3,0.3,169.86
ITEM-00000405,ORD-0024975,PROD-00076,1,0.0,226.56
ITEM-00000406,ORD-0003130,PROD-00139,2,0.2,63.19
ITEM-00000407,ORD-0004809,PROD-00176,5,0.15,120.9
ITEM-00000408,ORD-0019372,PROD-00278,1,0.3,53.94
ITEM-00000409,ORD-0019004,PROD-00052,1,0.0,7.09
ITEM-00000410,ORD-0009011,PROD-00019,5,0.05,95.35
